,번호,제목,본문,출판사
28,29,"울산 북구의회, 국가유공자 우선 주차구역 설치 조례 추진","김상태 울산 북구의회 의장이 8일 열린 제227회 임시회 1차 복지건설위원회에서 조례안 설명을 하고 있다.(울산 북구의회 제공. 재판매 및 DB금지)/뉴스1(울산=뉴스1) 김세은 기자 = 울산 북구의회가 국가유공자들의 복지 향상을 위해 발의한 조례안이 상임위원회 심사를 통과했다.북구의회는 8일 열린 제227회 임시회 제1차 복지건설위원회에서 김상태 의장이 대표 발의한 ‘북구 국가유공자 우선 주차구역 설치 및 운영에 관한 조례안’이 원안대로 의결됐다고 밝혔다.이 조례안은 국가유공자 등이 이용할 수 있는 우선 주차구역을 설치해 그들의 희생과 공헌에 대한 사회적 예우를 강화하기 위해 추진됐다.우선 주차구역을 이용할 수 있는 국가유공자에 대한 적용 범위를 규정하고, 구청사 또는 북구 관리 공공시설에 우선 주차구역을 설치하도록 하는 내용을 골자로 한다.해당 주차 구역에 국가유공자가 탑승하지 않은 자동차가 주차하면 다른 장소로 이동하도록 하는 권고사항도 담았다.김상태 의장은 제안설명에서 “우선 주차구역을 주차장 출입구 또는 승강기에서 가까운 곳에 설치하는 규정을 두는 등 국가유공자에게 실질적인 편의를 제공해 그들에 대한 사회적 예우를 강화하기 위한 조례안”이라고 설명했다.",뉴스1
29,30,"롯데손보, 국가유공자 보험료 할인…사회적 가치 실현","[이데일리 김형일 기자] 롯데손해보험이 국가유공자 보험료 할인 및 특수직업군에 대한 민영보험 사각지대 해소 등 ‘업(業)을 통한 사회공헌’을 통해 나눔 가치를 실현하고 있다고 5일 밝혔다.



롯데손해보험 본사 전경.(사진=롯데손해보험)롯데손보는 지난 2021년부터 업계 최초로 ‘국가유공자 보험료 할인 제도’를 시행하고 있다. 올해 8월 말 기준 총 3051명의 국가유공자 및 유족·가족이 보험료 할인 혜택을 적용 받았다. 해당 제도는 피보험자가 ‘국가유공자 등 예우 및 지원에 관한 법률’에 따라 국가보훈처에 등록된 국가유공자나 그 유족 또는 가족일 경우 신청할 수 있다.보험서비스(상품) 신규가입 시 증빙서류를 통해 국가유공자 보험료 할인 대상으로 확인되면 영업보험료를 3% 할인한다. 해당 제도의 대상일 경우, 최우선 인수심사(U/W)를 통해 가입절차 역시 신속하게 진행하고 있다.롯데손보는 지난 2020년 11월 업계 최초로 소방공무원을 위한 보험서비스(상품)인 ‘let:hero 소방관보험’을 출시한 데 이어, 2022년 10월에는 의료종사자를 위한 ‘let:hero 의료진보험’도 출시했다.let:hero 소방관보험은 소방공무원의 직업적 특수성으로 인한 ‘민영보험의 사각지대’를 해소했다. 특히 일반 보험서비스(상품)와 동일한 가입금액으로 가입할 수 있으며, 소방업무 중 발생 가능한 사망·후유장해와 중증화상·부식진단비·골절진단비 등 폭넓은 보장이 장점이다.let:hero 의료진보험은 의료종사자 7개 직업군(간호조무사·간호사·의사·약사·인명구조원·구급요원·보건의료정보관리사)에 해당하면 가입할 수 있다. 해당 보험서비스(상품)는 기존 건강보험의 보장에 의료진 특화 담보를 추가하여, 의료현장에서 고군분투하는 의료진의 위험을 사전에 대비할 수 있게 됐다.롯데손보 관계자는 “국가유공자 보험료 할인 제도는 대한민국을 지켜낸 영웅들의 희생과 헌신에 대한 예우”라며 “앞으로도 업을 통한 사회공헌을 바탕으로 지속 가능한 ESG 경영을 실현하겠다”고 말했다.",이데일리
30,31,"롯데손해보험, 국가유공자·가족 3051명에게 보험료 3% 할인","롯데손해보험이 국가유공자 등에 보험료를 할인하고 있다. 사진은 이은호 롯데손해보험 대표./사진=머니투데이 롯데손해보험이 국가유공자 보험료 할인 및 특수직업군에 대한 민영보험 사각지대 해소 등 '업(業)을 통한 사회공헌'을 통해 나눔 가치를 실현하고 있다고 5일 밝혔다. 롯데손해보험은 2021년부터 업계 최초로 '국가유공자 보험료 할인 제도'를 시행하고 있다. 2025년 8월 말 기준 총 3,051명의 국가유공자 및 유족·가족이 보험료 할인 혜택을 적용 받았다. 해당 제도는 피보험자가 '국가유공자 등 예우 및 지원에 관한 법률'에 따라 국가보훈처에 등록된 국가유공자나 그 유족 또는 가족일 경우 신청할 수 있다. 보험서비스(상품) 신규가입 시 증빙서류를 통해 국가유공자 보험료 할인 대상으로 확인되면 영업보험료를 3% 할인한다. 해당 제도의 대상일 경우, 최우선 인수심사(U/W)를 통해 가입절차 역시 신속하게 진행하고 있다. 롯데손해보험은 2020년 11월 업계 최초로 소방공무원을 위한 보험서비스(상품)인 'let:hero 소방관보험'을 출시한 데 이어 2022년 10월에는 의료종사자를 위한 'let:hero 의료진보험'도 출시했다.  'let:hero 소방관보험'은 소방공무원의 직업적 특수성으로 인한 '민영보험의 사각지대'를 해소했다. 특히 일반 보험서비스(상품)와 동일한 가입금액으로 가입할 수 있다. 소방업무 중 발생 가능한 사망·후유장해와 중증화상·부식진단비·골절진단비 등 폭넓은 보장이 장점이다. 'let:hero 의료진보험'은 의료종사자 7개 직업군(간호조무사·간호사·의사·약사·인명구조원·구급요원·보건의료정보관리사)에 해당하면 가입할 수 있다. 해당 보험서비스(상품)는 기존 건강보험의 보장에 의료진 특화 담보를 추가해 의료현장에서 고군분투하는 의료진의 위험을 사전에 대비할 수 있다. 롯데손해보험 관계자는 ""국가유공자 보험료 할인 제도는 대한민국을 지켜낸 영웅들의 희생과 헌신에 대한 예우""라며 ""앞으로도 업을 통한 사회공헌을 바탕으로 지속 가능한 ESG 경영을 실현하겠다""고 말했다.",머니S
31,32,"롯데손보, 국가유공자·특수직군 보험료 할인해 사회공헌 실천","롯데손해보험이 국가유공자 보험료 할인과 특수직업군에 대한 민영보험 사각지대 해소 등 '업(業)을 통한 사회공헌'을 통해 나눔 가치를 실현하고 있다고 5일 밝혔다.롯데손보는 2021년부터 업계 최초로 '국가유공자 보험료 할인 제도'를 시행하고 있다. 지난달 말 기준 3051명의 국가유공자와 유족·가족이 보험료 할인 혜택을 받았다. 이 제도는 피보험자가 '국가유공자 등 예우 및 지원에 관한 법률'에 따라 국가보훈처에 등록된 국가유공자나 그 유족 또는 가족일 경우 신청할 수 있다.



롯데손해보험 사옥. 롯데손보보험서비스(상품) 신규가입 시 증빙서류를 통해 국가유공자 보험료 할인 대상으로 확인되면 영업보험료를 3% 할인한다. 해당 제도의 대상일 경우 최우선 인수심사(U/W)를 통해 가입절차 역시 신속하게 진행하고 있다.롯데손보는 2020년 11월 업계 최초로 소방공무원을 위한 보험서비스(상품)인 'let:hero 소방관보험'을 출시한 데 이어 2022년 10월에는 의료종사자를 위한 'let:hero 의료진보험'도 출시했다.let:hero 소방관보험은 소방공무원의 직업적 특수성으로 인한 '민영보험의 사각지대'를 해소했다. 일반 보험서비스(상품)와 동일한 가입금액으로 가입할 수 있다. 소방업무 중 발생 가능한 사망·후유장해와 중증화상·부식진단비·골절진단비 등 폭넓은 보장이 장점이다.let:hero 의료진보험은 의료종사자 7개 직업군(간호조무사·간호사·의사·약사·인명구조원·구급요원·보건의료정보관리사)에 해당하면 가입할 수 있다. 해당 보험서비스(상품)는 기존 건강보험의 보장에 의료진 특화 담보를 추가하여, 의료현장에서 고군분투하는 의료진의 위험을 사전에 대비할 수 있게 됐다.롯데손보 관계자는 ""국가유공자 보험료 할인 제도는 대한민국을 지켜낸 영웅들의 희생과 헌신에 대한 예우""라며 ""앞으로도 업을 통한 사회공헌을 바탕으로 지속 가능한 ESG(환경·사회·지배구조) 경영을 실현하겠다""고 말했다.",아시아경제
32,33,"롯데손보, 국가유공자 보험료 할인..., ‘업(業)을 통한 사회공헌' 실천","국가유공자에 영업보험료 3% 할인소방공무원·의료종사자 위한 보험도롯데손보, ""ESG 경영 이어나갈 것""  



롯데손해보험 본사 전경. 롯데손해보험 제공 [파이낸셜뉴스]   롯데손해보험은 '업(業)을 통한 사회공헌'의 일환으로 국가유공자 보험료 할인, 특수직업군에 대한 민영보험 사각지대 해소 등 나눔 가치를 실천하고 있다고 5일 밝혔다.   롯데손보는 지난 2021년부터 업계 최초로 '국가유공자 보험료 할인 제도'를 시행중이다. 올해 8월 말 기준 총 3051명의 국가유공자 및 유족·가족이 보험료 할인 혜택을 받았다. 이 혜택은 피보험자가 '국가유공자 등 예우 및 지원에 관한 법률'에 따라 국가보훈처에 등록된 국가유공자나 그 유족 또는 가족일 경우 신청할 수 있다. 보험 상품 신규 가입 시 증빙서류를 통해 국가유공자 보험료 할인 대상으로 확인되면 영업보험료 3%를 할인해 준다.   롯데손보는 2020년에는 소방공무원을 위한 상품인 'let:hero 소방관보험', 2022년에는 의료종사자를 위한 'let:hero 의료진보험' 등 특수직업군을 위한 민영보험을 출시했다.   'let:hero 소방관보험'은 소방업무 중 발생 가능한 사망·후유장해와 중증화상·부식진단비·골절진단비 등 폭넓은 보장이 특징이다. 일반 보험 상품과 동일한 금액으로 가입할 수 있다.   'let:hero 의료진보험'은 의료종사자 7개 직업군(간호조무사·간호사·의사·약사·인명구조원·구급요원·보건의료정보관리사)에 해당하면 가입할 수 있다. 해당 상품은 기존 건강보험 보장에 의료진 특화 담보를 추가해 의료현장에서 위험을 사전에 대비할 수 있게 됐다.   롯데손보 관계자는 ""앞으로도 업을 통한 사회공헌을 바탕으로 지속 가능한 ESG 경영을 실현하겠다""고 말했다. #사회공헌 #국가유공자 #롯데손해보험 #특수직업군",파이낸셜뉴스
33,34,"중구, 대전 첫 국가유공자 대상포진 무료 예방접종","65세 이상 국가유공자 대상



[대전=뉴시스] 대전 중구청사 전경. *재판매 및 DB 금지[대전=뉴시스] 조명휘 기자 = 대전 중구는 대전에선 처음으로 65세 이상 국가유공자에게 대상포진 무료 예방접종을 실시한다고 9일 밝혔다.중구에 주민등록을 두고 있는 65세 이상(1960년 12월 31일 이전 출생자) 국가유공자를 대상으로 19일까지 중구보건소에서 진행된다. 기존 예방접종 이력이 있거나 특정 치료를 받고 있는 어르신은 제외된다.중구는 지난 해 '대상포진 예방접종 지원 조례'를 제정해 65세 이상 기초생활수급자를 대상으로 예방접종을 시행중으로, 올해부터는 국가유공자까지 지원 대상을 확대했다. 앞으로 차상위 계층 및 장애인 어르신들까지 혜택을 받을 수 있도록 지원을 확대할 계획이다.김제선 구청장은 ""대상포진은 높은 예방백신 비용으로 인해 아직 국가 필수 예방접종으로 지정되지 않아 접종을 원하는 어르신들에게 큰 부담이 되고 있는 실정""이라며 ""지속적인 지원 확대를 통해 어르신들의 질병예방에 최선을 다하겠다""고 했다.",뉴시스
34,35,"대전 중구, 대전 최초 국가유공자 대상포진 무료 예방접종","대상포진 무료 예방접종 현장 모습.(중구 제공. 재판매 및 DB금지)/뉴스1(대전=뉴스1) 김기태 기자 = 대전 중구는 대전시 최초로 65세 이상 국가유공자에게 대상포진 무료 예방접종을 실시한다고 9일 밝혔다.이번 접종은 9월 19일까지 중구보건소에서 진행된다. 대상자는 중구에 주민등록을 두고 있는 65세 이상(1960년 12월 31일 이전 출생자) 국가유공자로, 기존 예방접종 이력이 있거나 특정 치료를 받는 어르신은 제외된다.대상포진은 심한 통증과 함께 신경절을 따라 수포가 발생하고, 수포가 사라진 뒤에도 신경통이 오래 지속될 수 있다. 적절한 치료법이 없어 예방이 중요하지만, 높은 예방백신 비용으로 인해 아직 국가 필수 예방접종으로 지정되지 않아 접종을 원하는 어르신들에게 큰 부담이 되는 실정이다.구는 이러한 부담을 경감하고자 2024년 ‘대상포진 예방접종 지원 조례’를 제정해 65세 이상 기초생활수급자를 대상으로 예방접종을 시행해 왔다. 올해부터는 국가유공자까지 지원 대상을 확대했으며, 차상위 계층 및 장애인 어르신들까지 혜택을 받을 수 있도록 점차 지원을 확대해 나갈 계획이다.김제선 청장은 “대상포진 백신으로 질병을 예방해 건강하고 활기찬 노년을 보내실 수 있기를 바란다”며 “지속적인 지원 확대를 통해 어르신들의 질병 예방에 최선을 다하겠다”고 말했다.",뉴스1
35,36,"대전 중구, 국가유공자 대상포진 무료 예방접종 실시","김제선 대전 중구청장이 9일 중구보건소를 방문해 대상포진 무료 예방접종을 받는 어르신들을 직접 안내하고 있다./대전 중구대전 중구는 대전시 최초로 65세 이상 국가유공자에게 대상포진 무료 예방접종을 실시한다고 9일 밝혔다.이번 접종은 오는 19일까지 중구보건소에서 진행된다.대상자는 중구에 주민등록을 두고 있는 65세 이상(1960년 12월 31일 이전 출생자) 국가유공자로, 기존 예방접종 이력이 있거나 특정 치료를 받고 있는 어르신은 제외된다.대상포진은 심한 통증과 함께 신경절을 따라 수포가 발생하고, 수포가 사라진 뒤에도 신경통이 오래 지속될 수 있다.적절한 치료법이 없어 예방이 중요하지만, 높은 예방백신 비용으로 인해 아직 국가 필수 예방접종으로 지정되지 않아 접종을 원하는 어르신들에게 큰 부담이 되고 있는 실정이다.중구는 이러한 부담을 경감하고자 2024년‘대상포진 예방접종 지원 조례’를 제정해 65세 이상 기초생활수급자를 대상으로 예방접종을 시행해 왔다.올해부터는 국가유공자까지 지원 대상을 확대하였으며, 앞으로는 차상위 계층 및 장애인 어르신들까지 혜택을 받을 수 있도록 점차 지원을 확대해 나갈 계획이다.김제선 중구청장은 ""대상포진 백신으로 질병을 예방하여 건강하고 활기찬 노년을 보내실 수 있기를 바란다""며 ""지속적인 지원 확대를 통해 어르신들의 질병예방에 최선을 다하겠다""고 말했다.발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",더팩트
36,37,"대전보훈청, 저소득 참전유공자 찾아 임대료 전달","[대전=뉴시스] 대전지방보훈청이 10일 육군본부 후원으로 영구임대아파트에 거주 중인 저소득 참전유공자 자택을 찾아 임대료를 전달했다.(사진=대전지방보훈청 제공) 2025.09.10. photo@newsis.com *재판매 및 DB 금지[대전=뉴시스]김도현 기자 = 대전지방보훈청은 10일 육군본부 후원으로 영구임대아파트에 거주 중인 저소득 참전유공자 자택을 찾아 임대료를 전달했다.이번 지원은 국가유공자 주거 안정을 도모하기 위해 육군 본부에서 시행하는 나라사랑보금자리 사업 일환으로 추진됐다.대전보훈청은 이번 지원으로 생활 여건이 어려운 참전유공자 가구에 실질적인 도움이 될 것으로 기대하고 있다.육군은 여러 대외협력기관과 협력해 지난 2011년부터 이어져 오는 사업으로 6·25 전쟁과 월남참전유공자 중 경제적 여건이 어렵고 주거 환경이 열악한 분의 주택을 신축 및 보수하거나 임대주택 거주자 임대료를 지원하고 있다.보훈청 관계자는 ""앞으로도 국가 유공자 주거 및 생활 안정을 위한 여러 지원 사업을 적극적으로 추진하겠다""며 ""국가를 위한 희생과 공헌에 합당한 예우를 확대해 나가겠다""고 말했다.",뉴시스
37,38,"SR, 경로·장애인·국가유공자 대상 추석 SRT 예매율 55%","SRT 이미지.(SR 제공)(서울=뉴스1) 김동규 기자 = SRT 운영사 에스알(SR)은 이틀간 경로·장애인·국가유공자를 대상으로 추석 명절 SRT 승차권 우선 예매(8~9일)를 진행한 결과 예매율 55%를 기록했다고 9일 밝혔다.에스알은 추석 명절 기간 SRT 전체 공급 좌석 60만 9260석의 20%인 12만 1852석을 교통약자 대상 우선 예매로 진행했다. 이 중 6만 7018석이 판매됐다.우선 예매 기간 PC·모바일을 통한 온라인 예매와 전화접수로 예약한 승차권은 17일 24시까지 결제해야 한다. 기간 내에 결제하지 않은 승차권은 자동 취소된다.특히 전화접수로 승차권을 예매한 경로·장애인·국가유공자는 주민등록증·복지카드·유공자증 등 본인확인이 가능한 신분증을 소지하고 반드시 역 창구에서 결제해야 승차권을 발권받을 수 있다.에스알은 10일부터 11일까지는 전 국민을 대상으로 추석 명절 승차권 예매를 진행한다. 10일은 경부선·경전선·동해선을, 11일엔 호남선·전라선 승차권을 오전 7시부터 오후 1시까지 명절예매 전용홈페이지에서 운영한다.",뉴스1
38,39,울산 북구 국가유공자 우선 주차구역 조례안 상임위 통과,"[울산=뉴시스] 울산북구의회 김상태 의장이 8일 위원회 회의실에서 열린 ‘제227회 임시회 제1차 복지건설위원회’에서 본인이 대표 발의한 ‘북구 국가유공자 우선주차구역 설치 및 운영에 관한 조례안’ 제안 설명을 하고 있다.. (사진=북구의회). photo@newsis.com *재판매 및 DB 금지[울산=뉴시스] 박수지 기자 = 울산시 북구의회 김상태 의장이 북구 국가유공자들의 복지 향상을 위해 발의한 조례안이 상임위원회 심사를 통과했다.북구의회는 8일 위원회실에서 열린 제227회 임시회 제1차 복지건설위원회에서 '북구 국가유공자 우선주차구역 설치 및 운영에 관한 조례안'을 원안대로 의결했다.김 의장이 대표 발의한 이 조례안은 국가유공자 등이 이용할 수 있는 우선주차구역을 설치하기 위해 마련됐다.생활 편익과 복지 증진 혜택을 제공해 그들의 희생과 공헌에 대한 사회적 예우를 강화하는 게 목적이다.우선주차구역을 이용할 수 있는 국가유공자에 대한 적용 범위를 규정하고, 구청사 또는 북구 관리 공공시설에 우선주차구역을 설치하도록 하는 내용을 담았다.해당 주차 구역에 국가유공자가 탑승하지 않은 자동차가 주차하면 다른 장소로 이동하도록 하는 권고사항도 포함됐다. 김상태 의장은 제안설명에서 ""우선주차구역을 주차장 출입구 또는 승강기에서 가까운 곳에 설치하는 규정을 두는 등 국가유공자에게 실질적인 편의를 제공해 그들에 대한 사회적 예우를 강화하기 위한 조례안""이라고 설명했다.",뉴시스
39,40,"울산 북구의회, 국가유공자 우선 주차구역 설치 조례 추진","김상태 울산 북구의회 의장이 8일 열린 제227회 임시회 1차 복지건설위원회에서 조례안 설명을 하고 있다.(울산 북구의회 제공. 재판매 및 DB금지)/뉴스1(울산=뉴스1) 김세은 기자 = 울산 북구의회가 국가유공자들의 복지 향상을 위해 발의한 조례안이 상임위원회 심사를 통과했다.북구의회는 8일 열린 제227회 임시회 제1차 복지건설위원회에서 김상태 의장이 대표 발의한 ‘북구 국가유공자 우선 주차구역 설치 및 운영에 관한 조례안’이 원안대로 의결됐다고 밝혔다.이 조례안은 국가유공자 등이 이용할 수 있는 우선 주차구역을 설치해 그들의 희생과 공헌에 대한 사회적 예우를 강화하기 위해 추진됐다.우선 주차구역을 이용할 수 있는 국가유공자에 대한 적용 범위를 규정하고, 구청사 또는 북구 관리 공공시설에 우선 주차구역을 설치하도록 하는 내용을 골자로 한다.해당 주차 구역에 국가유공자가 탑승하지 않은 자동차가 주차하면 다른 장소로 이동하도록 하는 권고사항도 담았다.김상태 의장은 제안설명에서 “우선 주차구역을 주차장 출입구 또는 승강기에서 가까운 곳에 설치하는 규정을 두는 등 국가유공자에게 실질적인 편의를 제공해 그들에 대한 사회적 예우를 강화하기 위한 조례안”이라고 설명했다.",뉴스1
40,41,"롯데손보, 국가유공자 보험료 할인…사회적 가치 실현","[이데일리 김형일 기자] 롯데손해보험이 국가유공자 보험료 할인 및 특수직업군에 대한 민영보험 사각지대 해소 등 ‘업(業)을 통한 사회공헌’을 통해 나눔 가치를 실현하고 있다고 5일 밝혔다.



롯데손해보험 본사 전경.(사진=롯데손해보험)롯데손보는 지난 2021년부터 업계 최초로 ‘국가유공자 보험료 할인 제도’를 시행하고 있다. 올해 8월 말 기준 총 3051명의 국가유공자 및 유족·가족이 보험료 할인 혜택을 적용 받았다. 해당 제도는 피보험자가 ‘국가유공자 등 예우 및 지원에 관한 법률’에 따라 국가보훈처에 등록된 국가유공자나 그 유족 또는 가족일 경우 신청할 수 있다.보험서비스(상품) 신규가입 시 증빙서류를 통해 국가유공자 보험료 할인 대상으로 확인되면 영업보험료를 3% 할인한다. 해당 제도의 대상일 경우, 최우선 인수심사(U/W)를 통해 가입절차 역시 신속하게 진행하고 있다.롯데손보는 지난 2020년 11월 업계 최초로 소방공무원을 위한 보험서비스(상품)인 ‘let:hero 소방관보험’을 출시한 데 이어, 2022년 10월에는 의료종사자를 위한 ‘let:hero 의료진보험’도 출시했다.let:hero 소방관보험은 소방공무원의 직업적 특수성으로 인한 ‘민영보험의 사각지대’를 해소했다. 특히 일반 보험서비스(상품)와 동일한 가입금액으로 가입할 수 있으며, 소방업무 중 발생 가능한 사망·후유장해와 중증화상·부식진단비·골절진단비 등 폭넓은 보장이 장점이다.let:hero 의료진보험은 의료종사자 7개 직업군(간호조무사·간호사·의사·약사·인명구조원·구급요원·보건의료정보관리사)에 해당하면 가입할 수 있다. 해당 보험서비스(상품)는 기존 건강보험의 보장에 의료진 특화 담보를 추가하여, 의료현장에서 고군분투하는 의료진의 위험을 사전에 대비할 수 있게 됐다.롯데손보 관계자는 “국가유공자 보험료 할인 제도는 대한민국을 지켜낸 영웅들의 희생과 헌신에 대한 예우”라며 “앞으로도 업을 통한 사회공헌을 바탕으로 지속 가능한 ESG 경영을 실현하겠다”고 말했다.",이데일리
41,42,"롯데손해보험, 국가유공자·가족 3051명에게 보험료 3% 할인","롯데손해보험이 국가유공자 등에 보험료를 할인하고 있다. 사진은 이은호 롯데손해보험 대표./사진=머니투데이 롯데손해보험이 국가유공자 보험료 할인 및 특수직업군에 대한 민영보험 사각지대 해소 등 '업(業)을 통한 사회공헌'을 통해 나눔 가치를 실현하고 있다고 5일 밝혔다. 롯데손해보험은 2021년부터 업계 최초로 '국가유공자 보험료 할인 제도'를 시행하고 있다. 2025년 8월 말 기준 총 3,051명의 국가유공자 및 유족·가족이 보험료 할인 혜택을 적용 받았다. 해당 제도는 피보험자가 '국가유공자 등 예우 및 지원에 관한 법률'에 따라 국가보훈처에 등록된 국가유공자나 그 유족 또는 가족일 경우 신청할 수 있다. 보험서비스(상품) 신규가입 시 증빙서류를 통해 국가유공자 보험료 할인 대상으로 확인되면 영업보험료를 3% 할인한다. 해당 제도의 대상일 경우, 최우선 인수심사(U/W)를 통해 가입절차 역시 신속하게 진행하고 있다. 롯데손해보험은 2020년 11월 업계 최초로 소방공무원을 위한 보험서비스(상품)인 'let:hero 소방관보험'을 출시한 데 이어 2022년 10월에는 의료종사자를 위한 'let:hero 의료진보험'도 출시했다.  'let:hero 소방관보험'은 소방공무원의 직업적 특수성으로 인한 '민영보험의 사각지대'를 해소했다. 특히 일반 보험서비스(상품)와 동일한 가입금액으로 가입할 수 있다. 소방업무 중 발생 가능한 사망·후유장해와 중증화상·부식진단비·골절진단비 등 폭넓은 보장이 장점이다. 'let:hero 의료진보험'은 의료종사자 7개 직업군(간호조무사·간호사·의사·약사·인명구조원·구급요원·보건의료정보관리사)에 해당하면 가입할 수 있다. 해당 보험서비스(상품)는 기존 건강보험의 보장에 의료진 특화 담보를 추가해 의료현장에서 고군분투하는 의료진의 위험을 사전에 대비할 수 있다. 롯데손해보험 관계자는 ""국가유공자 보험료 할인 제도는 대한민국을 지켜낸 영웅들의 희생과 헌신에 대한 예우""라며 ""앞으로도 업을 통한 사회공헌을 바탕으로 지속 가능한 ESG 경영을 실현하겠다""고 말했다.",머니S
42,43,"롯데손보, 국가유공자·특수직군 보험료 할인해 사회공헌 실천","롯데손해보험이 국가유공자 보험료 할인과 특수직업군에 대한 민영보험 사각지대 해소 등 '업(業)을 통한 사회공헌'을 통해 나눔 가치를 실현하고 있다고 5일 밝혔다.롯데손보는 2021년부터 업계 최초로 '국가유공자 보험료 할인 제도'를 시행하고 있다. 지난달 말 기준 3051명의 국가유공자와 유족·가족이 보험료 할인 혜택을 받았다. 이 제도는 피보험자가 '국가유공자 등 예우 및 지원에 관한 법률'에 따라 국가보훈처에 등록된 국가유공자나 그 유족 또는 가족일 경우 신청할 수 있다.



롯데손해보험 사옥. 롯데손보보험서비스(상품) 신규가입 시 증빙서류를 통해 국가유공자 보험료 할인 대상으로 확인되면 영업보험료를 3% 할인한다. 해당 제도의 대상일 경우 최우선 인수심사(U/W)를 통해 가입절차 역시 신속하게 진행하고 있다.롯데손보는 2020년 11월 업계 최초로 소방공무원을 위한 보험서비스(상품)인 'let:hero 소방관보험'을 출시한 데 이어 2022년 10월에는 의료종사자를 위한 'let:hero 의료진보험'도 출시했다.let:hero 소방관보험은 소방공무원의 직업적 특수성으로 인한 '민영보험의 사각지대'를 해소했다. 일반 보험서비스(상품)와 동일한 가입금액으로 가입할 수 있다. 소방업무 중 발생 가능한 사망·후유장해와 중증화상·부식진단비·골절진단비 등 폭넓은 보장이 장점이다.let:hero 의료진보험은 의료종사자 7개 직업군(간호조무사·간호사·의사·약사·인명구조원·구급요원·보건의료정보관리사)에 해당하면 가입할 수 있다. 해당 보험서비스(상품)는 기존 건강보험의 보장에 의료진 특화 담보를 추가하여, 의료현장에서 고군분투하는 의료진의 위험을 사전에 대비할 수 있게 됐다.롯데손보 관계자는 ""국가유공자 보험료 할인 제도는 대한민국을 지켜낸 영웅들의 희생과 헌신에 대한 예우""라며 ""앞으로도 업을 통한 사회공헌을 바탕으로 지속 가능한 ESG(환경·사회·지배구조) 경영을 실현하겠다""고 말했다.",아시아경제
43,44,"롯데손보, 국가유공자 보험료 할인..., ‘업(業)을 통한 사회공헌' 실천","국가유공자에 영업보험료 3% 할인소방공무원·의료종사자 위한 보험도롯데손보, ""ESG 경영 이어나갈 것""  



롯데손해보험 본사 전경. 롯데손해보험 제공 [파이낸셜뉴스]   롯데손해보험은 '업(業)을 통한 사회공헌'의 일환으로 국가유공자 보험료 할인, 특수직업군에 대한 민영보험 사각지대 해소 등 나눔 가치를 실천하고 있다고 5일 밝혔다.   롯데손보는 지난 2021년부터 업계 최초로 '국가유공자 보험료 할인 제도'를 시행중이다. 올해 8월 말 기준 총 3051명의 국가유공자 및 유족·가족이 보험료 할인 혜택을 받았다. 이 혜택은 피보험자가 '국가유공자 등 예우 및 지원에 관한 법률'에 따라 국가보훈처에 등록된 국가유공자나 그 유족 또는 가족일 경우 신청할 수 있다. 보험 상품 신규 가입 시 증빙서류를 통해 국가유공자 보험료 할인 대상으로 확인되면 영업보험료 3%를 할인해 준다.   롯데손보는 2020년에는 소방공무원을 위한 상품인 'let:hero 소방관보험', 2022년에는 의료종사자를 위한 'let:hero 의료진보험' 등 특수직업군을 위한 민영보험을 출시했다.   'let:hero 소방관보험'은 소방업무 중 발생 가능한 사망·후유장해와 중증화상·부식진단비·골절진단비 등 폭넓은 보장이 특징이다. 일반 보험 상품과 동일한 금액으로 가입할 수 있다.   'let:hero 의료진보험'은 의료종사자 7개 직업군(간호조무사·간호사·의사·약사·인명구조원·구급요원·보건의료정보관리사)에 해당하면 가입할 수 있다. 해당 상품은 기존 건강보험 보장에 의료진 특화 담보를 추가해 의료현장에서 위험을 사전에 대비할 수 있게 됐다.   롯데손보 관계자는 ""앞으로도 업을 통한 사회공헌을 바탕으로 지속 가능한 ESG 경영을 실현하겠다""고 말했다. #사회공헌 #국가유공자 #롯데손해보험 #특수직업군",파이낸셜뉴스
44,45,"중구, 대전 첫 국가유공자 대상포진 무료 예방접종","65세 이상 국가유공자 대상



[대전=뉴시스] 대전 중구청사 전경. *재판매 및 DB 금지[대전=뉴시스] 조명휘 기자 = 대전 중구는 대전에선 처음으로 65세 이상 국가유공자에게 대상포진 무료 예방접종을 실시한다고 9일 밝혔다.중구에 주민등록을 두고 있는 65세 이상(1960년 12월 31일 이전 출생자) 국가유공자를 대상으로 19일까지 중구보건소에서 진행된다. 기존 예방접종 이력이 있거나 특정 치료를 받고 있는 어르신은 제외된다.중구는 지난 해 '대상포진 예방접종 지원 조례'를 제정해 65세 이상 기초생활수급자를 대상으로 예방접종을 시행중으로, 올해부터는 국가유공자까지 지원 대상을 확대했다. 앞으로 차상위 계층 및 장애인 어르신들까지 혜택을 받을 수 있도록 지원을 확대할 계획이다.김제선 구청장은 ""대상포진은 높은 예방백신 비용으로 인해 아직 국가 필수 예방접종으로 지정되지 않아 접종을 원하는 어르신들에게 큰 부담이 되고 있는 실정""이라며 ""지속적인 지원 확대를 통해 어르신들의 질병예방에 최선을 다하겠다""고 했다.",뉴시스
